model,approach,history,accuracy_significant_wins,macro_f1_significant_wins,accuracy_win_tier,macro_f1_win_tier,allowed_interval_s,total_events,actionable,actionable_rate,too_early,too_early_rate,too_late,too_late_rate,missed,missed_rate,warning,warning_rate
internvl,appod,H20,1,2,5,1,2,86,10,0.1162790697674418,58,0.6744186046511628,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H20,1,2,5,1,3,86,13,0.1511627906976744,55,0.6395348837209303,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H20,1,2,5,1,4,86,15,0.1744186046511628,53,0.6162790697674418,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H20,1,2,5,1,5,86,17,0.1976744186046511,51,0.5930232558139535,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H22,4,2,2,1,1,86,7,0.0813953488372093,61,0.7093023255813954,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H22,4,2,2,1,2,86,10,0.1162790697674418,58,0.6744186046511628,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H22,4,2,2,1,3,86,14,0.1627906976744186,54,0.627906976744186,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H22,4,2,2,1,4,86,15,0.1744186046511628,53,0.6162790697674418,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H22,4,2,2,1,5,86,17,0.1976744186046511,51,0.5930232558139535,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H24,2,2,4,1,1,86,7,0.0813953488372093,61,0.7093023255813954,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H24,2,2,4,1,2,86,10,0.1162790697674418,58,0.6744186046511628,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H24,2,2,4,1,3,86,13,0.1511627906976744,55,0.6395348837209303,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H24,2,2,4,1,4,86,15,0.1744186046511628,53,0.6162790697674418,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H24,2,2,4,1,5,86,17,0.1976744186046511,51,0.5930232558139535,15,0.1744186046511628,3,0.0348837209302325,83,0.9651162790697676
internvl,appod,H30,3,2,3,1,1,86,5,0.0581395348837209,63,0.7325581395348837,16,0.1860465116279069,2,0.0232558139534883,84,0.9767441860465116
internvl,appod,H30,3,2,3,1,2,86,8,0.0930232558139534,60,0.6976744186046512,16,0.1860465116279069,2,0.0232558139534883,84,0.9767441860465116
internvl,appod,H30,3,2,3,1,3,86,13,0.1511627906976744,55,0.6395348837209303,16,0.1860465116279069,2,0.0232558139534883,84,0.9767441860465116
internvl,appod,H30,3,2,3,1,4,86,15,0.1744186046511628,53,0.6162790697674418,16,0.1860465116279069,2,0.0232558139534883,84,0.9767441860465116
internvl,appod,H30,3,2,3,1,5,86,17,0.1976744186046511,51,0.5930232558139535,16,0.1860465116279069,2,0.0232558139534883,84,0.9767441860465116
