approach,history,history_frames,metric,friedman_holm_p,model_1,model_2,n_pairs,wilcoxon_statistic,raw_p,median_difference_model1_minus_model2,rank_biserial_model1_minus_model2,holm_p,significant,significant_better_model
appfr,H28,28,accuracy,1.5403086132849725e-05,qwen,llava,25,30.0,0.00012022256851196289,0.05233111322549944,0.8153846153846154,0.00024044513702392578,True,qwen
appfr,H28,28,accuracy,1.5403086132849725e-05,internvl,llava,25,45.0,0.0009118914604187012,-0.12314939434724093,-0.7230769230769231,0.0009118914604187012,True,llava
appfr,H28,28,macro_f1,0.02143403022255201,qwen,internvl,25,55.0,0.0027848482131958008,0.06638025675649989,0.6615384615384615,0.0055696964263916016,True,qwen
appfr,H28,28,macro_f1,0.02143403022255201,qwen,llava,25,160.0,0.9578450322151184,-0.005641424568313291,-0.015384615384615385,0.9578450322151184,False,No difference
appfr,H28,28,macro_f1,0.02143403022255201,internvl,llava,25,44.0,0.0008081197738647461,-0.06374566082360883,-0.7292307692307692,0.0024243593215942383,True,llava
appfr,H30,30,accuracy,5.922955795220926e-05,qwen,internvl,25,23.0,3.814697265625e-05,0.18152274837511606,0.8584615384615385,0.00011444091796875,True,qwen
appfr,H30,30,accuracy,5.922955795220926e-05,qwen,llava,25,29.0,0.000102996826171875,0.049792531120331995,0.8215384615384616,0.00020599365234375,True,qwen
appfr,H30,30,accuracy,5.922955795220926e-05,internvl,llava,25,43.0,0.0007149577140808105,-0.148721399730821,-0.7353846153846154,0.0007149577140808105,True,llava
appfr,H30,30,macro_f1,0.006657909058543116,qwen,internvl,25,50.0,0.001625359058380127,0.0602046993749526,0.6923076923076923,0.003250718116760254,True,qwen
appfr,H30,30,macro_f1,0.006657909058543116,qwen,llava,25,159.0,0.936802864074707,-0.0018161281867443146,-0.021538461538461538,0.936802864074707,False,No difference
appfr,H30,30,macro_f1,0.006657909058543116,internvl,llava,25,41.0,0.0005564093589782715,-0.0687061113753677,-0.7476923076923077,0.0016692280769348145,True,llava
appfr,H32,32,accuracy,3.7149566405575063e-05,qwen,internvl,25,22.0,3.1948089599609375e-05,0.16734279918864103,0.8646153846153846,9.584426879882812e-05,True,qwen
appfr,H32,32,accuracy,3.7149566405575063e-05,qwen,llava,25,34.0,0.00021690130233764648,0.05302402651201332,0.7907692307692308,0.00043380260467529297,True,qwen
appfr,H32,32,accuracy,3.7149566405575063e-05,internvl,llava,25,45.0,0.0009118914604187012,-0.13277623026926644,-0.7230769230769231,0.0009118914604187012,True,llava
appfr,H32,32,macro_f1,0.013911344195314803,qwen,internvl,25,57.0,0.003419220447540283,0.04668625354910649,0.6492307692307693,0.006838440895080566,True,qwen
appfr,H32,32,macro_f1,0.013911344195314803,qwen,llava,25,156.0,0.8739878535270691,0.0020994612423542724,0.04,0.8739878535270691,False,No difference
appfr,H32,32,macro_f1,0.013911344195314803,internvl,llava,25,37.0,0.00032907724380493164,-0.05584750582585718,-0.7723076923076924,0.000987231731414795,True,llava
appod,H02,2,accuracy,0.00018092736474249456,qwen,internvl,25,40.0,0.0004894733428955078,0.11977715877437334,0.7538461538461538,0.0009789466857910156,True,qwen
appod,H02,2,accuracy,0.00018092736474249456,qwen,llava,25,30.0,0.00012022256851196289,0.049707602339181256,0.8153846153846154,0.00036066770553588867,True,qwen
appod,H02,2,accuracy,0.00018092736474249456,internvl,llava,25,161.0,0.978915274143219,-0.0020188425302827273,-0.009230769230769232,0.978915274143219,False,No difference
appod,H02,2,macro_f1,0.0019444513525333181,qwen,internvl,25,21.0,2.664327621459961e-05,0.05792885069054615,0.8707692307692307,7.992982864379883e-05,True,qwen
appod,H02,2,macro_f1,0.0019444513525333181,qwen,llava,25,45.0,0.0009118914604187012,0.02221735029350469,0.7230769230769231,0.0018237829208374023,True,qwen
appod,H02,2,macro_f1,0.0019444513525333181,internvl,llava,25,126.0,0.33878785371780396,-0.01355240302025329,-0.2246153846153846,0.33878785371780396,False,No difference
appod,H04,4,accuracy,0.0014346235202186137,qwen,internvl,25,45.0,0.0009118914604187012,0.08187134502923976,0.7230769230769231,0.0027356743812561035,True,qwen
