model,approach,history,history_frames,case_study,frames,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
internvl,appod,H18,18,crowdbot,8801,0.49437563913191684,0.3304632207121154,0.3348764698110715,0.2798463364589285,0.3348764698110715
internvl,appod,H18,18,huron,16862,0.631538370300083,0.3682177335738234,0.45336624759802174,0.3359086804663635,0.45336624759802174
internvl,appod,H18,18,pal,9249,0.38815007027786785,0.2617911463213358,0.2807362385107945,0.26252118664430973,0.2807362385107945
internvl,appod,H20,20,crowdbot,8801,0.4934666515168731,0.3301669318757323,0.33365834324217203,0.25913829061571714,0.33365834324217203
internvl,appod,H20,20,huron,16862,0.637350255011268,0.3685252047663818,0.45352445514218237,0.33792525707745763,0.45352445514218237
internvl,appod,H20,20,pal,9249,0.38901502865174614,0.3005733309671332,0.2824051780042162,0.26425035508314537,0.2824051780042162
internvl,appod,H22,22,crowdbot,8801,0.5258493353028065,0.37030060989896274,0.35705641432157487,0.3200346692557077,0.35705641432157487
internvl,appod,H22,22,huron,16862,0.6593523899893251,0.3661047641369186,0.4420351727252918,0.3424870209006871,0.4420351727252918
internvl,appod,H22,22,pal,9249,0.3844739971888853,0.26298569053567755,0.2827004810372942,0.2623373034534177,0.2827004810372942
internvl,appod,H24,24,crowdbot,8801,0.5261902056584479,0.3745979768942154,0.35700620953890866,0.3134151809487457,0.35700620953890866
internvl,appod,H24,24,huron,16862,0.6503973431384178,0.36671107355447674,0.44512166902956424,0.340333159738285,0.44512166902956424
internvl,appod,H24,24,pal,9249,0.37852740836847226,0.2619925462932735,0.27997774162438843,0.25923966017771954,0.27997774162438843
internvl,appod,H26,26,crowdbot,8801,0.523804113168958,0.38551760226637083,0.3547628484608271,0.294259467344775,0.3547628484608271
internvl,appod,H26,26,huron,16862,0.5360574071877594,0.3646559612896074,0.41934579707952047,0.29694191604581405,0.41934579707952047
internvl,appod,H26,26,pal,9249,0.5125959563196021,0.3273326942407731,0.36172092140268,0.34017282087879225,0.36172092140268
internvl,appod,H28,28,crowdbot,8801,0.5165322122486081,0.3783047050197362,0.349641960628881,0.2840337032576541,0.349641960628881
internvl,appod,H28,28,huron,16862,0.5265686158225596,0.3635115891316795,0.4198150822465519,0.2936024304906839,0.4198150822465519
internvl,appod,H28,28,pal,9249,0.5133527948967456,0.3382541949014126,0.3659082503223828,0.3439545706513613,0.3659082503223828
internvl,appod,H30,30,crowdbot,8801,0.5435745937961596,0.40382464844707405,0.3686669309023649,0.31998019986205645,0.3686669309023649
internvl,appod,H30,30,huron,16862,0.5884829794804887,0.37059860031773334,0.4195103398191826,0.31727575960961907,0.4195103398191826
internvl,appod,H30,30,pal,9249,0.5566007135906584,0.4902219087228657,0.4005253971357224,0.37535980433347693,0.4005253971357224
internvl,appod,H32,32,crowdbot,8801,0.5027837745710715,0.36012354953997944,0.33981239265424756,0.25767416563987805,0.33981239265424756
internvl,appod,H32,32,huron,16862,0.5824338749851737,0.3675422774073817,0.41420318863862565,0.3139041891756627,0.41420318863862565
internvl,appod,H32,32,pal,9249,0.5527084009082063,0.41155949626877003,0.40098946598545854,0.3749308463642995,0.40098946598545854
llava,appfr,H02,2,crowdbot,8801,0.4974434723326895,0.33096282708089625,0.3377407847800238,0.3017389669350131,0.3377407847800238
llava,appfr,H02,2,huron,16862,0.7323567785553315,0.3650733869811971,0.42312689252349694,0.36043420602151993,0.42312689252349694
llava,appfr,H02,2,pal,9249,0.4989728619310196,0.3081020438956385,0.34235494783305026,0.323216525869425,0.34235494783305026
llava,appfr,H04,4,crowdbot,8801,0.4838086581070333,0.32198081798066064,0.33130400317082837,0.32616209388494877,0.33130400317082837
llava,appfr,H04,4,huron,16862,0.7901197959909857,0.3657139317669688,0.40477158641288463,0.3713621070689042,0.40477158641288463
llava,appfr,H04,4,pal,9249,0.5613579846469888,0.3152814608595036,0.3520822864405199,0.32725085363202683,0.3520822864405199
llava,appfr,H06,6,crowdbot,8801,0.4791500965799341,0.3205389939431382,0.3295706169903554,0.32203261482032325,0.3295706169903554
llava,appfr,H06,6,huron,16862,0.799905112086348,0.3679419820277631,0.4055117835874109,0.375044420691868,0.4055117835874109
llava,appfr,H06,6,pal,9249,0.5740080008649584,0.3112892271505779,0.3485949853076134,0.3160414123368554,0.3485949853076134
llava,appfr,H08,8,crowdbot,8801,0.4805135780024997,0.3229394844113394,0.33188267934998017,0.3113433859819758,0.33188267934998017
llava,appfr,H08,8,huron,16862,0.8020993950895504,0.3690615734071609,0.406979523233512,0.37656358089849745,0.406979523233512
llava,appfr,H08,8,pal,9249,0.5721699643204671,0.3017444268313196,0.34241044760522626,0.30539896455826715,0.34241044760522626
llava,appfr,H10,10,crowdbot,8801,0.48437677536643564,0.32573714585934926,0.3343902761263047,0.3157896525018342,0.3343902761263047
llava,appfr,H10,10,huron,16862,0.7972956944609181,0.3679504193377336,0.40675219788749767,0.37473702480010807,0.40675219788749767
