model,approach,history,history_frames,class_label,support,precision,recall,f1,class_accuracy
llava,appfr,H30,30,potentially_unsafe,8497,0.3303587051618548,0.22219606920089444,0.2656909653813679,0.701076993583868
llava,appfr,H30,30,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appfr,H32,32,safe,24996,0.732353641528047,0.8612978076492239,0.7916092144209734,0.675326535288726
llava,appfr,H32,32,potentially_unsafe,8497,0.3278331822302811,0.21278098152289043,0.25806451612903225,0.7022227314390468
llava,appfr,H32,32,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H02,2,safe,24996,0.7573577501635056,0.6949111857897263,0.7247918883394879,0.6221642988084326
llava,appod,H02,2,potentially_unsafe,8497,0.30399933205310176,0.4285041779451571,0.35567060662303407,0.6221356553620532
llava,appod,H02,2,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H04,4,safe,24996,0.7478425757517124,0.7731236997919667,0.7602730294863979,0.6509223189734189
llava,appod,H04,4,potentially_unsafe,8497,0.32973211332818875,0.3520065905613746,0.3405054644808743,0.6681370302474794
llava,appod,H04,4,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H06,6,safe,24996,0.7457954545454546,0.7876860297647623,0.766168573429839,0.655763061411549
llava,appod,H06,6,potentially_unsafe,8497,0.3381109022556391,0.33870777921619394,0.3384090775471809,0.6776752978918423
llava,appod,H06,6,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H08,8,safe,24996,0.7361313337216074,0.8090494479116659,0.7708698635358694,0.6556484876260311
llava,appod,H08,8,potentially_unsafe,8497,0.3241935483870968,0.28386489349182065,0.30269184915605196,0.681685380384968
llava,appod,H08,8,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H10,10,safe,24996,0.7490273887332711,0.7702432389182269,0.7594871794871796,0.6507218148487626
llava,appod,H10,10,potentially_unsafe,8497,0.33774978279756734,0.36601153348240556,0.3513131883648687,0.6710300183318056
llava,appod,H10,10,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H12,12,safe,24996,0.7414821944177094,0.770523283725396,0.7557238429695317,0.6433604491292392
llava,appod,H12,12,potentially_unsafe,8497,0.3240461004811458,0.34082617394374487,0.3322243891246988,0.6665329972502292
llava,appod,H12,12,unsafe,1419,0.0,0.0,0.0,0.9593549495875344
llava,appod,H14,14,safe,24996,0.7460466941338042,0.7606417026724276,0.753273508844912,0.6432458753437214
