metric,direction,approach,history,history_frames,n_complete_bags,test_performed,qwen_median_original,internvl_median_original,llava_median_original,qwen_median_oriented,internvl_median_oriented,llava_median_oriented,best_median_model,friedman_chi2,degrees_of_freedom,raw_p,kendalls_w,holm_p,significant_holm
pcs,higher positive correctness correlation is better,appfr,H30,30,24,True,0.21879566383247423,-0.5431335249125713,0.21645371952602924,0.21879566383247423,-0.5431335249125713,0.21645371952602924,qwen,25.333333333333314,2,3.1545438051702596e-06,0.5277777777777773,4.7318157077553896e-05,True
pcs,higher positive correctness correlation is better,appfr,H32,32,23,True,0.21630920199089756,-0.49781585428272757,0.22080440828742776,0.21630920199089756,-0.49781585428272757,0.22080440828742776,llava,23.739130434782624,2,7.000246344958146e-06,0.5160680529300571,7.700270979453961e-05,True
pcs,higher positive correctness correlation is better,appod,H02,2,23,True,0.2600597521329859,-0.03204420506591402,-0.007820940236408003,0.2600597521329859,-0.03204420506591402,-0.007820940236408003,qwen,19.043478260869563,2,7.324217582596509e-05,0.4139886578449905,0.0005859374066077207,True
pcs,higher positive correctness correlation is better,appod,H04,4,21,True,0.17988854094602846,-0.043101523445690945,0.08048924492014721,0.17988854094602846,-0.043101523445690945,0.08048924492014721,qwen,14.095238095238074,2,0.0008694766773238058,0.3356009070294779,0.005216860063942835,True
pcs,higher positive correctness correlation is better,appod,H06,6,23,True,0.2049914577944143,-0.1982136158174433,0.10563983404352442,0.2049914577944143,-0.1982136158174433,0.10563983404352442,qwen,10.782608695652186,2,0.004556026814740878,0.23440453686200405,0.02278013407370439,True
pcs,higher positive correctness correlation is better,appod,H08,8,23,True,0.22574221969966385,-0.22604348780116323,0.10213560341657651,0.22574221969966385,-0.22604348780116323,0.10213560341657651,qwen,15.913043478260875,2,0.0003503696776160408,0.34593572778827986,0.002452587743312286,True
pcs,higher positive correctness correlation is better,appod,H10,10,23,True,0.26887437498043465,-0.1527533358263383,0.08503249396053139,0.26887437498043465,-0.1527533358263383,0.08503249396053139,qwen,28.260869565217376,2,7.298441763757493e-07,0.6143667296786386,9.36684740349024e-06,True
pcs,higher positive correctness correlation is better,appod,H12,12,23,True,0.23535239433489524,-0.1546052612213895,0.08003319126633619,0.23535239433489524,-0.1546052612213895,0.08003319126633619,qwen,33.6521739130435,2,4.926327529457386e-08,0.7315689981096413,7.882124047131818e-07,True
pcs,higher positive correctness correlation is better,appod,H14,14,23,True,0.21205717868037535,-0.05674348669105499,0.09318610102019129,0.21205717868037535,-0.05674348669105499,0.09318610102019129,qwen,28.434782608695627,2,6.690605288207315e-07,0.6181474480151223,9.36684740349024e-06,True
pcs,higher positive correctness correlation is better,appod,H16,16,23,True,0.25043112787409405,-0.04293539397719505,0.11890004287517494,0.25043112787409405,-0.04293539397719505,0.11890004287517494,qwen,22.260869565217376,2,1.4659312152768594e-05,0.48393194706994297,0.00013193380937491733,True
